id,title,thumbnail_id,listing_type_id,permalink,category_id,domain_id,order_backend,price,sold_quantity,available_quantity,tags,variation_filters,shipping__logistic_type,shipping__store_pick_up,shipping__free_shipping,shipping__tags,seller__id,seller__nickname,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__power_seller_status,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__completed,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__total,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,installments__quantity,installments__amount,installments__rate,days_remaining,years_active
MLA1111611607,Collar Con Dije Mini Inicial Y Cristal Swarovski Corazon 14 ,608549-MLA50114285831_052022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1111611607-collar-con-dije-mini-inicial-y-cristal-swarovski-corazon-14-_JM,MLA1436,MLA-NECKLACES,30,7799.0,25,1,"['loyalty_discount_eligible', 'poor_quality_picture', 'poor_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['COLOR'],xd_drop_off,False,False,"['MLA-chg-threshold-Feb-23', 'self_service_in']",727958428,ML IZZAPJOYAS,"['normal', 'eshop', 'credits_profile', 'messages_as_seller']",5_green,platinum,111,3339,0.0,0.0,1.0,3450,60 days,461,60 days,0.0,0,60 days,0.0065,3,60 days,0.0,0,6,1928.3,48.35,6830,1
MLA1344477521,Smartwatch T900 Pro Max Rosa Original + Smartwatch D20,962842-MLA53764552873_022023,gold_special,https://articulo.mercadolibre.com.ar/MLA-1344477521-smartwatch-t900-pro-max-rosa-original-smartwatch-d20-_JM,MLA352679,MLA-SMARTWATCHES,31,9990.0,5,1,"['extended_warranty_eligible', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']","['CASE_COLOR', 'WRISTBAND_COLOR', 'BEZEL_COLOR', 'WRISTBAND_DESIGN']",xd_drop_off,False,True,['mandatory_free_shipping'],64707843,LEGITIMO-RELOJES,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,,57,435,0.08,0.0,0.92,492,365 days,435,365 days,0.006,3,365 days,0.0093,4,365 days,0.0,1,6,2470.03,48.35,7290,11
MLA670003689,Aros Argollas Plata 925 Con Piedras Blancas (ki2009),978810-MLA53378923548_012023,gold_special,https://articulo.mercadolibre.com.ar/MLA-670003689-aros-argollas-plata-925-con-piedras-blancas-ki2009-_JM,MLA1432,MLA-EARRINGS,32,2659.0,500,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']","['COLOR', 'PIEDRAS']",xd_drop_off,False,False,"['self_service_in', 'fs_threshold_mla_change_feb2021']",135499748,MGJOYASYRELOJES,"['normal', 'credits_priority_4', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,320,5302,0.0,0.03,0.97,5622,60 days,1119,60 days,0.0,2,60 days,0.0,0,60 days,0.0,0,6,657.44,48.35,5489,9
MLA1163264572,Reloj Mujer Skmei 1411 Acero Minimalista Elegante Clasico,739970-MLA52709559353_122022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1163264572-reloj-mujer-skmei-1411-acero-minimalista-elegante-clasico-_JM,MLA1442,MLA-WRISTWATCHES,33,5299.0,5,100,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['STRAP_COLOR'],fulfillment,False,False,"['fulfillment', 'self_service_out']",460893229,RADIOSPICASA,"['brand', 'large_seller', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,9857,137521,0.09,0.02,0.89,147378,60 days,37109,60 days,0.0077,311,60 days,0.0,0,60 days,0.0,0,6,1310.18,48.35,7130,3
MLA1182218433,Cruz De Caravaca Talisman Amuleto De Proteccion De Todo Mal,828209-MLA51789983528_102022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1182218433-cruz-de-caravaca-talisman-amuleto-de-proteccion-de-todo-mal-_JM,MLA6312,MLA-CHARMS_AND_MEDALS,34,1986.0,25,150,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']","['Cadena', 'COLOR', 'Cadena', 'COLOR', 'COLOR', 'COLOR', 'Cadena', 'COLOR']",xd_drop_off,False,False,['self_service_in'],232580095,DIJES COMAR,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,114,2787,0.0,0.02,0.98,2901,60 days,735,60 days,0.0,1,60 days,0.0014,1,60 days,0.0,0,6,491.04,48.35,7156,6
MLA907547944,Reloj Smart Watch Inteligente Mujer Hombre Sumergible Noga E,941673-MLA44895531598_022021,gold_special,https://articulo.mercadolibre.com.ar/MLA-907547944-reloj-smart-watch-inteligente-mujer-hombre-sumergible-noga-e-_JM,MLA352679,MLA-SMARTWATCHES,35,13199.0,500,150,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']","['CASE_COLOR', 'WRISTBAND_COLOR']",fulfillment,False,True,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",114457637,ELECTRO POINT,"['normal', 'credits_priority_4', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,13712,200029,0.05,0.02,0.93,213741,60 days,45901,60 days,0.0084,410,60 days,0.0026,121,60 days,0.0035,174,6,3263.45,48.35,6556,10
MLA1138675964,Collar Rompecabezas Del Milenio Yugioh Anime Dorado ,931657-MLA50053268547_052022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1138675964-collar-rompecabezas-del-milenio-yugioh-anime-dorado-_JM,MLA1436,MLA-NECKLACES,36,1942.92,50,50,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",['COLOR'],cross_docking,False,False,['self_service_in'],27181929,BURDAH,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,1433,24613,0.03,0.03,0.94,26046,60 days,3385,60 days,0.0061,22,60 days,0.0033,11,60 days,0.0027,10,6,480.39,48.35,7026,19
MLA1232741082,"Reloj Pulsera Casio Collection F-91 De Cuerpo Color Dorado, Digital, Fondo Dorado, Con Correa De Resina Color Negro, Dial Negro, Minutero/segundero Negro, Bisel Color Negro Y Hebilla Simple",900690-MLA47615300316_092021,gold_special,https://www.mercadolibre.com.ar/reloj-pulsera-casio-collection-f-91-de-cuerpo-color-dorado-digital-fondo-dorado-con-correa-de-resina-color-negro-dial-negro-minuterosegundero-negro-bisel-color-negro-y-hebilla-simple/p/MLA18332423,MLA1442,MLA-WRISTWATCHES,37,15999.0,5,1,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",,cross_docking,False,True,"['self_service_in', 'mandatory_free_shipping']",47316577,PLANETAZENOK,"['normal', 'eshop', 'medium_seller', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,5612,78642,0.03,0.03,0.94,84254,60 days,11257,60 days,0.0119,144,60 days,0.0073,84,60 days,0.0032,39,6,3955.75,48.35,7195,14
MLA739503186,"Malla Para Casio W 96h  Colocacion Gatis , Agente Oficial ",977377-MLA31115554508_062019,gold_special,https://articulo.mercadolibre.com.ar/MLA-739503186-malla-para-casio-w-96h-colocacion-gatis-agente-oficial-_JM,MLA417313,MLA-WATCH_BANDS,38,1299.0,250,1,"['poor_quality_thumbnail', 'brand_verified', 'loyalty_discount_eligible', 'poor_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']","['WIDTH', 'COLOR']",cross_docking,False,False,['self_service_in'],71218032,CASIO-CENTRO,"['normal', 'credits_priority_4', 'from_facebook', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,platinum,635,9927,0.01,0.01,0.98,10562,60 days,1516,60 days,0.0109,18,60 days,0.0027,4,60 days,0.0079,13,6,321.18,48.35,5628,7
MLA1128933915,Smartwatch Dt2 Plus Reloj Inteligente Llamadas Deportes,800679-MLA49600077757_042022,gold_special,https://articulo.mercadolibre.com.ar/MLA-1128933915-smartwatch-dt2-plus-reloj-inteligente-llamadas-deportes-_JM,MLA352679,MLA-SMARTWATCHES,39,21499.0,100,1,"['good_quality_picture', 'good_quality_thumbnail', 'catalog_listing_eligible', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",['WRISTBAND_COLOR'],cross_docking,False,True,"['self_service_in', 'mandatory_free_shipping']",255344164,GOUFITARGENTINA,"['normal', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,platinum,2306,26755,0.04,0.03,0.93,29061,60 days,2075,60 days,0.0061,14,60 days,0.0062,13,60 days,0.0053,12,6,5315.63,48.35,6964,5
